9.968498349189758301e-01,8.741375803947448730e-02
9.968443512916564941e-01,8.740904927253723145e-02
9.968649148941040039e-01,8.741913735866546631e-02
9.968626499176025391e-01,8.741502463817596436e-02
9.968456029891967773e-01,8.741474896669387817e-02
9.968515634536743164e-01,8.741770684719085693e-02
9.968441128730773926e-01,8.741450309753417969e-02
9.968671798706054688e-01,8.741101622581481934e-02
9.968622922897338867e-01,8.741415292024612427e-02
9.968539476394653320e-01,8.740635216236114502e-02
9.968653321266174316e-01,8.741641789674758911e-02
9.968533515930175781e-01,8.740869909524917603e-02
9.968543648719787598e-01,8.740849047899246216e-02
9.968482851982116699e-01,8.741672337055206299e-02
9.968717098236083984e-01,8.741564303636550903e-02
9.968485832214355469e-01,8.739736676216125488e-02
9.968445897102355957e-01,8.741036057472229004e-02
9.968316555023193359e-01,8.741679787635803223e-02
9.968608617782592773e-01,8.741408586502075195e-02
9.968490600585937500e-01,8.741161227226257324e-02
9.968559741973876953e-01,8.741759508848190308e-02
9.968387484550476074e-01,8.740869164466857910e-02
9.968565106391906738e-01,8.741592615842819214e-02
9.968514442443847656e-01,8.741157501935958862e-02
9.968674182891845703e-01,8.741482347249984741e-02
9.968451261520385742e-01,8.741308748722076416e-02
9.968637228012084961e-01,8.741535246372222900e-02
9.968536496162414551e-01,8.741241693496704102e-02
9.968768954277038574e-01,8.741404116153717041e-02
9.968442320823669434e-01,8.741274476051330566e-02
9.968602657318115234e-01,8.741918206214904785e-02
9.968633055686950684e-01,8.739726990461349487e-02
9.968637228012084961e-01,8.741024136543273926e-02
9.968553185462951660e-01,8.740790188312530518e-02
9.968695640563964844e-01,8.741469681262969971e-02
9.968427419662475586e-01,8.741398900747299194e-02
9.968779087066650391e-01,8.740257471799850464e-02
9.968445897102355957e-01,8.741015940904617310e-02
9.968716502189636230e-01,8.740489184856414795e-02
9.968385696411132812e-01,8.741074055433273315e-02
9.968469738960266113e-01,8.740668743848800659e-02
9.968421459197998047e-01,8.740022778511047363e-02
9.968621730804443359e-01,8.739940822124481201e-02
9.968589544296264648e-01,8.740308880805969238e-02
9.968520402908325195e-01,8.740732818841934204e-02
9.968447685241699219e-01,8.740280568599700928e-02
9.968633055686950684e-01,8.740564435720443726e-02
9.968432188034057617e-01,8.740732073783874512e-02
9.968540668487548828e-01,8.740712702274322510e-02
9.968506693840026855e-01,8.740990608930587769e-02
9.968633055686950684e-01,8.740553259849548340e-02
